movie_id,Animation,Children's,Comedy,Adventure,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Sci-Fi,Documentary,War,Musical,Mystery,Film-Noir,Western,title
42,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Dead Presidents (1995)
43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Restoration (1995)
44,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Mortal Kombat (1995)
45,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,To Die For (1995)
46,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,How to Make an American Quilt (1995)
47,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Seven (Se7en) (1995)
48,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Pocahontas (1995)
49,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,When Night Is Falling (1995)
50,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Usual Suspects， The (1995)
51,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,Guardian Angel (1994)
52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mighty Aphrodite (1995)
53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Lamerica (1994)
54,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Big Green， The (1995)
55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Georgia (1995)
56,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Kids of the Round Table (1995)
57,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Home for the Holidays (1995)
58,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Postino， Il (The Postman) (1994)
59,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Confessional， The (Le Confessionnal) (1995)
60,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Indian in the Cupboard， The (1995)
61,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Eye for an Eye (1996)
62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Mr. Holland's Opus (1995)
63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
64,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Two if by Sea (1996)
65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bio-Dome (1996)
66,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Lawnmower Man 2: Beyond Cyberspace (1996)
67,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Two Bits (1995)
68,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,French Twist (Gazon maudit) (1995)
69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Friday (1995)
70,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,From Dusk Till Dawn (1996)
71,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Fair Game (1995)
72,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Kicking and Screaming (1995)
73,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Mis�rables， Les (1995)
74,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Bed of Roses (1996)
75,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Big Bully (1996)
76,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Screamers (1995)
77,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Nico Icon (1995)
78,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Crossing Guard， The (1995)
79,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Juror， The (1996)
80,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,White Balloon， The (Badkonake Sefid ) (1995)
81,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Things to Do in Denver when You're Dead (1995)
82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Antonia's Line (Antonia) (1995)
83,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Once Upon a Time... When We Were Colored (1995)
84,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Last Summer in the Hamptons (1995)
85,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Angels and Insects (1995)
86,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,White Squall (1996)
87,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dunston Checks In (1996)
88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Black Sheep (1996)
89,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Nick of Time (1995)
90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Journey of August King， The (1995)
92,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Mary Reilly (1996)
93,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Vampire in Brooklyn (1995)
94,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Beautiful Girls (1996)
95,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Broken Arrow (1996)
96,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,In the Bleak Midwinter (1995)
97,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Hate (Haine， La) (1995)
98,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Shopping (1994)
99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Heidi Fleiss: Hollywood Madam (1995)
100,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,City Hall (1996)
101,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bottle Rocket (1996)
102,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mr. Wrong (1996)
103,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Unforgettable (1996)
104,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Happy Gilmore (1996)
105,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Bridges of Madison County， The (1995)
106,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Nobody Loves Me (Keiner liebt mich) (1994)
107,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Muppet Treasure Island (1996)
108,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Catwalk (1995)
109,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Headless Body in Topless Bar (1995)
110,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,Braveheart (1995)
111,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Taxi Driver (1976)
112,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Rumble in the Bronx (1995)
113,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Before and After (1996)
114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Margaret's Museum (1995)
115,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Happiness Is in the Field (1995)
116,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Anne Frank Remembered (1995)
117,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Young Poisoner's Handbook， The (1995)
118,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,If Lucy Fell (1996)
119,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steal Big， Steal Little (1995)
120,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Race the Sun (1996)
121,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Boys of St. Vincent， The (1993)
122,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Boomerang (1992)
123,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Chungking Express (1994)
124,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Star Maker， The (Uomo delle stelle， L') (1995)
125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Flirting With Disaster (1996)
126,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NeverEnding Story III， The (1994)
127,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Silence of the Palace， The (Saimt el Qusur) (1994)
128,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Jupiter's Wife (1994)
129,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Pie in the Sky (1995)
130,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Angela (1995)
131,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Frankie Starlight (1995)
132,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Jade (1995)
133,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Nueba Yol (1995)
134,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sonic Outlaws (1995)
135,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Down Periscope (1996)
136,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,From the Journals of Jean Seberg (1995)
137,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Man of the Year (1995)
138,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Neon Bible， The (1995)
139,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Target (1995)
140,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Up Close and Personal (1996)
141,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Birdcage， The (1996)
142,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Shadows (Cienie) (1988)
143,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Gospa (1995)
144,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brothers McMullen， The (1995)
145,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Bad Boys (1995)
146,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazing Panda Adventure， The (1995)
147,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Basketball Diaries， The (1995)
148,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Awfully Big Adventure， An (1995)
149,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,Amateur (1994)
150,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Apollo 13 (1995)
151,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,Rob Roy (1995)
152,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Addiction， The (1995)
153,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Batman Forever (1995)
154,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Belle de jour (1967)
155,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Beyond Rangoon (1995)
156,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue in the Face (1995)
157,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Canadian Bacon (1994)
158,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Casper (1995)
159,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Clockers (1995)
160,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,Congo (1995)
161,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,Crimson Tide (1995)
162,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Crumb (1994)
163,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,Desperado (1995)
164,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,Devil in a Blue Dress (1995)
165,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Die Hard: With a Vengeance (1995)
166,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Doom Generation， The (1995)
167,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Feast of July (1995)
168,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,First Knight (1995)
169,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Free Willy 2: The Adventure Home (1995)
170,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Hackers (1995)
171,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jeffrey (1995)
172,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Johnny Mnemonic (1995)
173,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Judge Dredd (1995)
174,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jury Duty (1995)
175,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Kids (1995)
176,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Living in Oblivion (1995)
177,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Lord of Illusions (1995)
178,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Love & Human Remains (1993)
179,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Mad Love (1995)
180,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mallrats (1995)
181,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Mighty Morphin Power Rangers: The Movie (1995)
182,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Moonlight and Valentino (1995)
183,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Mute Witness (1994)
184,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Nadja (1994)
185,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Net， The (1995)
186,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nine Months (1995)
187,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Party Girl (1995)
188,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Prophecy， The (1995)
189,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Reckless (1995)
190,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Safe (1995)
191,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Scarlet Letter， The (1995)
192,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Show， The (1995)
193,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Showgirls (1995)
194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Smoke (1995)
195,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Something to Talk About (1995)
196,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Species (1995)
197,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Stars Fell on Henrietta， The (1995)
198,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Strange Days (1995)
199,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Umbrellas of Cherbourg， The (Parapluies de Cherbourg， Les) (1964)
200,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Tie That Binds， The (1995)
201,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Three Wishes (1995)
202,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Total Eclipse (1995)
203,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,To Wong Foo， Thanks for Everything! Julie Newmar (1995)
204,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Under Siege 2: Dark Territory (1995)
205,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Unstrung Heroes (1995)
206,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Unzipped (1995)
207,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Walk in the Clouds， A (1995)
208,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Waterworld (1995)
209,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,White Man's Burden (1995)
210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Wild Bill (1995)
211,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Browning Version， The (1994)
212,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bushwhacked (1995)
213,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Burnt By the Sun (Utomlyonnye solntsem) (1994)
214,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Before the Rain (Pred dozhdot) (1994)
215,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Before Sunrise (1995)
216,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Billy Madison (1995)
217,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Babysitter， The (1995)
218,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Boys on the Side (1995)
219,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Cure， The (1995)
220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Castle Freak (1995)
222,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Circle of Friends (1995)
223,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Clerks (1994)
224,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Don Juan DeMarco (1995)
225,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Disclosure (1994)
226,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Dream Man (1995)
227,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Drop Zone (1994)
228,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Destiny Turns on the Radio (1995)
229,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Death and the Maiden (1994)
230,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Dolores Claiborne (1994)
231,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dumb & Dumber (1994)
232,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Eat Drink Man Woman (1994)
233,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Exotica (1994)
234,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Exit to Eden (1994)
235,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Ed Wood (1994)
236,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,French Kiss (1995)
237,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Forget Paris (1995)
238,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Far From Home: The Adventures of Yellow Dog (1995)
239,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Goofy Movie， A (1995)
240,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Hideaway (1995)
241,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Fluke (1995)
242,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Farinelli: il castrato (1994)
243,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gordy (1995)
244,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gumby: The Movie (1995)
245,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Glass Shield， The (1994)
246,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Hoop Dreams (1994)
247,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,Heavenly Creatures (1994)
248,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Houseguest (1994)
249,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Immortal Beloved (1994)
250,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Heavyweights (1994)
251,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Hunted， The (1995)
252,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,I.Q. (1994)
253,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Interview with the Vampire (1994)
254,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Jefferson in Paris (1995)
255,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jerky Boys， The (1994)
256,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Junior (1994)
257,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Just Cause (1995)
258,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Kid in King Arthur's Court， A (1995)
259,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,Kiss of Death (1995)
260,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,Star Wars: Episode IV - A New Hope (1977)
261,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Little Women (1994)
262,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Little Princess， A (1995)
263,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Ladybird Ladybird (1994)
264,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Enfer， L' (1994)
265,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Like Water for Chocolate (Como agua para chocolate) (1992)
266,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,Legends of the Fall (1994)
267,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Major Payne (1994)
268,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Little Odessa (1994)
269,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,My Crazy Life (Mi vida loca) (1993)
270,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Love Affair (1994)
271,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Losing Isaiah (1995)
272,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Madness of King George， The (1994)
